Date	Port	n	t	Runtime
05/23/2025 08:33:03	28030	15	8	1776.732614
05/23/2025 08:48:13	28030	15	2	0.066257
05/23/2025 08:50:08	28030	15	2	0.066248
05/23/2025 08:52:46	28030	15	4	0.315257
05/23/2025 08:53:35	28030	15	8	0.078677

05/23/2025 08:59:41	28030	20000	2	183.045607
05/23/2025 09:03:46	28030	20000	2	185.349011
05/23/2025 09:08:40	28030	20000	2	188.328654
05/23/2025 09:16:16	28030	20000	4	179.495614
05/23/2025 09:20:31	28030	20000	4	186.594167
05/23/2025 09:25:05	28030	20000	4	184.726486
05/23/2025 09:31:08	28030	20000	8	186.463782
05/23/2025 09:37:47	28030	20000	8	181.203119
05/23/2025 09:45:17	28030	20000	8	210.042150
05/23/2025 09:51:33	28030	20000	16	218.308103
05/23/2025 09:56:28	28030	20000	16	237.586455
05/23/2025 10:01:14	28030	20000	16	230.119054
05/23/2025 10:09:10	28030	25000	2	336.199719
05/23/2025 10:16:37	28030	25000	2	361.346356
05/23/2025 10:23:53	28030	25000	2	361.660014
05/23/2025 10:31:23	28030	25000	4	359.572054
05/23/2025 10:38:04	28030	25000	4	320.896768
05/23/2025 10:46:26	28030	25000	4	364.549758
05/23/2025 10:56:51	28030	25000	8	348.915399
05/23/2025 11:06:28	28030	25000	8	348.449284
05/23/2025 11:13:13	28030	25000	8	323.089224
05/23/2025 11:26:36	28030	25000	16	349.294859
05/23/2025 11:35:26	28030	25000	16	356.334975
05/23/2025 11:44:23	28030	25000	16	351.076099
