Date	Port	n	t	Runtime
05/23/2025 08:42:58	28034	15	8	0.000227
05/23/2025 08:42:58	28033	15	8	0.000036
05/23/2025 08:42:58	28032	15	8	0.000036
05/23/2025 08:48:13	28031	15	2	0.000067
05/23/2025 08:50:08	28031	15	2	0.000072
05/23/2025 08:52:46	28032	15	4	0.000038
05/23/2025 08:52:46	28031	15	4	0.000225
05/23/2025 08:53:35	28032	15	8	0.000061
05/23/2025 08:53:35	28031	15	8	0.000030
05/23/2025 08:53:35	28033	15	8	0.000055
05/23/2025 08:53:35	28034	15	8	0.000046

05/23/2025 08:56:51	28031	20000	2	1.133044
05/23/2025 09:00:52	28031	20000	2	0.995181
05/23/2025 09:05:44	28031	20000	2	1.093613

05/23/2025 09:13:27	28032	20000	4	0.741882
05/23/2025 09:13:27	28031	20000	4	0.903016

05/23/2025 09:17:37	28032	20000	4	0.683895
05/23/2025 09:17:37	28031	20000	4	0.661676

05/23/2025 09:22:12	28032	20000	4	0.610737
05/23/2025 09:22:12	28031	20000	4	0.613114

05/23/2025 09:28:10	28032	20000	8	0.393590
05/23/2025 09:28:10	28033	20000	8	0.380372
05/23/2025 09:28:10	28031	20000	8	0.379399
05/23/2025 09:28:10	28034	20000	8	0.390158

05/23/2025 09:34:53	28031	20000	8	0.452444
05/23/2025 09:34:53	28032	20000	8	0.449632
05/23/2025 09:34:53	28034	20000	8	0.424026
05/23/2025 09:34:54	28033	20000	8	0.267342

05/23/2025 09:41:54	28031	20000	8	0.381312
05/23/2025 09:41:54	28033	20000	8	0.300033
05/23/2025 09:41:54	28032	20000	8	0.329879
05/23/2025 09:41:54	28034	20000	8	0.321012

05/23/2025 09:48:02	28034	20000	16	0.297415
05/23/2025 09:48:02	28031	20000	16	0.285476
05/23/2025 09:48:02	28035	20000	16	0.291663
05/23/2025 09:48:02	28033	20000	16	0.258583
05/23/2025 09:48:02	28038	20000	16	0.297933
05/23/2025 09:48:02	28032	20000	16	0.279649
05/23/2025 09:48:03	28036	20000	16	0.251869
05/23/2025 09:48:03	28037	20000	16	0.176156

05/23/2025 09:52:38	28035	20000	16	0.263354
05/23/2025 09:52:38	28034	20000	16	0.256742
05/23/2025 09:52:38	28033	20000	16	0.254016
05/23/2025 09:52:38	28037	20000	16	0.260876
05/23/2025 09:52:38	28031	20000	16	0.283450
05/23/2025 09:52:38	28036	20000	16	0.275397
05/23/2025 09:52:38	28032	20000	16	0.275722
05/23/2025 09:52:38	28038	20000	16	0.255922

05/23/2025 09:57:32	28035	20000	16	0.250399
05/23/2025 09:57:32	28032	20000	16	0.276711
05/23/2025 09:57:32	28037	20000	16	0.279742
05/23/2025 09:57:32	28033	20000	16	0.274151
05/23/2025 09:57:32	28031	20000	16	0.271779
05/23/2025 09:57:32	28038	20000	16	0.309502
05/23/2025 09:57:32	28034	20000	16	0.267269
05/23/2025 09:57:32	28036	20000	16	0.124687

05/23/2025 10:04:02	28031	25000	2	8.625049
05/23/2025 10:11:01	28031	25000	2	6.796093
05/23/2025 10:18:22	28031	25000	2	8.331874

05/23/2025 10:25:42	28031	25000	4	4.543224
05/23/2025 10:25:42	28032	25000	4	4.163390

05/23/2025 10:33:03	28031	25000	4	5.445310
05/23/2025 10:33:03	28032	25000	4	5.938052

05/23/2025 10:40:40	28031	25000	4	3.663835
05/23/2025 10:40:40	28032	25000	4	3.603527

05/23/2025 10:51:15	28031	25000	8	0.900674
05/23/2025 10:51:15	28032	25000	8	0.900859
05/23/2025 10:51:16	28034	25000	8	0.828494
05/23/2025 10:51:16	28033	25000	8	0.803997

05/23/2025 11:00:53	28031	25000	8	1.047091
05/23/2025 11:00:53	28034	25000	8	0.967022
05/23/2025 11:00:53	28033	25000	8	0.922149
05/23/2025 11:00:54	28032	25000	8	0.492624

05/23/2025 11:08:01	28031	25000	8	0.933774
05/23/2025 11:08:01	28032	25000	8	0.959257
05/23/2025 11:08:02	28033	25000	8	0.632522
05/23/2025 11:08:02	28034	25000	8	0.581717

05/23/2025 11:16:28	28032	25000	8	1.269004
05/23/2025 11:16:28	28031	25000	8	1.189873
05/23/2025 11:16:29	28033	25000	8	0.857039
05/23/2025 11:16:29	28034	25000	8	0.869342

05/23/2025 11:21:05	28036	25000	16	0.967491
05/23/2025 11:21:06	28031	25000	16	0.868048
05/23/2025 11:21:06	28032	25000	16	0.837127
05/23/2025 11:21:06	28033	25000	16	0.961945
05/23/2025 11:21:06	28035	25000	16	0.842558
05/23/2025 11:21:06	28037	25000	16	0.552573
05/23/2025 11:21:06	28034	25000	16	0.532918
05/23/2025 11:21:07	28038	25000	16	0.404393

05/23/2025 11:29:49	28036	25000	16	0.934439
05/23/2025 11:29:49	28035	25000	16	0.885089
05/23/2025 11:29:49	28031	25000	16	0.797462
05/23/2025 11:29:49	28038	25000	16	0.987660
05/23/2025 11:29:49	28037	25000	16	0.861391
05/23/2025 11:29:50	28033	25000	16	0.720828
05/23/2025 11:29:50	28032	25000	16	0.418044
05/23/2025 11:29:50	28034	25000	16	0.414499

05/23/2025 11:38:50	28033	25000	16	0.680373
05/23/2025 11:38:50	28038	25000	16	0.689447
05/23/2025 11:38:50	28034	25000	16	0.628585
05/23/2025 11:38:51	28037	25000	16	0.669936
05/23/2025 11:38:52	28035	25000	16	0.581292
05/23/2025 11:38:52	28032	25000	16	0.570669
05/23/2025 11:38:52	28031	25000	16	0.523273
05/23/2025 11:38:52	28036	25000	16	0.499522

