Date	Port	n	t	Runtime
05/23/2025 08:52:47	28034	15	4	0.000013
05/23/2025 08:53:35	28036	15	8	0.000018
05/23/2025 08:53:35	28035	15	8	0.000018
05/23/2025 08:53:35	28038	15	8	0.000033
05/23/2025 08:53:35	28037	15	8	0.000015

05/23/2025 08:59:42	28032	20000	2	0.618576
05/23/2025 09:03:46	28032	20000	2	0.621946
05/23/2025 09:08:41	28032	20000	2	0.614986

05/23/2025 09:16:14	28034	20000	4	0.311761
05/23/2025 09:16:16	28033	20000	4	0.311573

05/23/2025 09:20:28	28034	20000	4	0.311603
05/23/2025 09:20:31	28033	20000	4	0.305711

05/23/2025 09:25:04	28034	20000	4	0.315298
05/23/2025 09:25:05	28033	20000	4	0.314025

05/23/2025 09:31:07	28036	20000	8	0.159421
05/23/2025 09:31:07	28035	20000	8	0.164667
05/23/2025 09:31:07	28038	20000	8	0.157333
05/23/2025 09:31:08	28037	20000	8	0.154053

05/23/2025 09:37:44	28038	20000	8	0.173626
05/23/2025 09:37:44	28035	20000	8	0.162957
05/23/2025 09:37:48	28036	20000	8	0.161504
05/23/2025 09:37:48	28037	20000	8	0.165655

05/23/2025 09:45:15	28038	20000	8	0.213197
05/23/2025 09:45:16	28037	20000	8	0.154953
05/23/2025 09:45:16	28036	20000	8	0.155131
05/23/2025 09:45:17	28035	20000	8	0.155563

05/23/2025 09:50:58	28044	20000	16	0.078781
05/23/2025 09:51:06	28039	20000	16	0.077697
05/23/2025 09:51:13	28046	20000	16	0.076831
05/23/2025 09:51:21	28045	20000	16	0.076581
05/23/2025 09:51:28	28043	20000	16	0.075726
05/23/2025 09:51:32	28042	20000	16	0.076501
05/23/2025 09:51:33	28041	20000	16	0.077152
05/23/2025 09:51:34	28040	20000	16	0.076635

05/23/2025 09:55:57	28040	20000	16	0.076893
05/23/2025 09:56:09	28044	20000	16	0.077679
05/23/2025 09:56:12	28046	20000	16	0.081796
05/23/2025 09:56:16	28043	20000	16	0.086634
05/23/2025 09:56:16	28042	20000	16	0.092893
05/23/2025 09:56:25	28039	20000	16	0.092290
05/23/2025 09:56:27	28045	20000	16	0.080497
05/23/2025 09:56:28	28041	20000	16	0.082819

05/23/2025 10:00:53	28040	20000	16	0.075642
05/23/2025 10:01:03	28042	20000	16	0.078373
05/23/2025 10:01:07	28045	20000	16	0.075866
05/23/2025 10:01:07	28043	20000	16	0.077187
05/23/2025 10:01:08	28044	20000	16	0.076789
05/23/2025 10:01:11	28046	20000	16	0.077424
05/23/2025 10:01:14	28039	20000	16	0.077004
05/23/2025 10:01:15	28041	20000	16	0.076685

05/23/2025 10:09:11	28032	25000	2	0.964281
05/23/2025 10:16:38	28032	25000	2	0.994267
05/23/2025 10:23:53	28032	25000	2	0.966487

05/23/2025 10:31:22	28034	25000	4	0.475828
05/23/2025 10:31:23	28033	25000	4	0.484897

05/23/2025 10:38:03	28034	25000	4	0.494073
05/23/2025 10:38:04	28033	25000	4	0.488779

05/23/2025 10:46:25	28034	25000	4	0.539404
05/23/2025 10:46:26	28033	25000	4	0.510417

05/23/2025 10:56:50	28036	25000	8	0.247999
05/23/2025 10:56:50	28038	25000	8	0.256893
05/23/2025 10:56:50	28035	25000	8	0.249808
05/23/2025 10:56:51	28037	25000	8	0.259092

05/23/2025 11:06:27	28035	25000	8	0.249516
05/23/2025 11:06:28	28038	25000	8	0.309654
05/23/2025 11:06:28	28036	25000	8	0.318226
05/23/2025 11:06:29	28037	25000	8	0.245448

05/23/2025 11:13:13	28036	25000	8	0.248450
05/23/2025 11:13:13	28035	25000	8	0.254818
05/23/2025 11:13:13	28038	25000	8	0.265561
05/23/2025 11:13:14	28037	25000	8	0.246154
05/23/2025 11:26:03	28045	25000	16	0.124370
05/23/2025 11:26:05	28040	25000	16	0.124825
05/23/2025 11:26:08	28043	25000	16	0.123015
05/23/2025 11:26:12	28039	25000	16	0.122893
05/23/2025 11:26:26	28046	25000	16	0.126879
05/23/2025 11:26:28	28044	25000	16	0.140489
05/23/2025 11:26:32	28042	25000	16	0.130274
05/23/2025 11:26:37	28041	25000	16	0.122981
